fid,area_name_russian,Lukashenko,Kebich,Pazniak,Shushkevich,Dubko,Novikau,latitude_wgs84,longitude_wgs84,area_name_belarusian,non_lukashenko,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,HubName,HubDist,fid_2,ID_,NAME1_,Control,AREA,PERIMETER
"59",Лида,0.249,0.15,0.318,0.15,0.04,0.03,53.8771,25.3001,Ліда,0.75099999,"22",BLR,Belarus,"3",Hrodna,"45",Lida,Raion,District,,,"457",105.543313518991,"23",P1207,Lida district,ja,4311.4838068,419.801349916
"60",Лидский район,0.32,0.135,0.298,0.1,0.076,0.016,53.8856,25.3028,Лідскі раён,0.68000001,"22",BLR,Belarus,"3",Hrodna,"45",Lida,Raion,District,,,"457",105.49538825181,"23",P1207,Lida district,ja,4311.4838068,419.801349916
"72",Вороновский район,0.28,0.23,0.22,0.067,0.16,0.014,54.1484,25.3167,Воранаўскі раён,0.72000003,"22",BLR,Belarus,"3",Hrodna,"53",Voranava,Raion,District,,Voronovo,"457",112.511662109114,"23",P1207,Lida district,ja,4311.4838068,419.801349916
"57",Ивьевский район,0.267,0.09,0.4,0.079,0.08,0.02,53.9151,25.7666,Іўеўскі раён,0.73299998,"22",BLR,Belarus,"3",Hrodna,"43",Iwye,Raion,District,,Ivye,"457",76.1733240908918,"23",P1207,Lida district,ja,4311.4838068,419.801349916
"52",Островецкий район,0.15,0.21,0.27,0.09,0.18,0.019,54.6121,25.9553,Астравецкі раён,0.85000002,"22",BLR,Belarus,"3",Hrodna,"39",Astravyets,Raion,District,,Ostrovets,"310",105.828636678061,"24",P1109,Wilno district,ja,5963.85558576,621.989996627
"137",Вилейка,0.313,0.113,0.316,0.129,0.034,0.046,54.4771,26.9165,Вілейка,0.68699998,"22",BLR,Belarus,"5",Minsk,"97",Vyalyeyka,Raion,District,,Vileyka,"208",43.0289865387609,"25",P1104,Wilejka district,ja,3785.4652062,359.232693314
"138",Вилейский район,0.408,0.101,0.237,0.082,0.063,0.055,54.4817,26.9167,Вілейскі раён,0.59200001,"22",BLR,Belarus,"5",Minsk,"97",Vyalyeyka,Raion,District,,Vileyka,"208",43.4733141636527,"25",P1104,Wilejka district,ja,3785.4652062,359.232693314
"65",Щучинский район,0.436,0.15,0.18,0.07,0.079,0.019,53.5587,24.8697,Шчучынскі раён,0.56400001,"22",BLR,Belarus,"3",Hrodna,"49",Shchuchyn,Raion,District,,Shchuchin,"165",139.713641396567,"28",P1204,Szczuczyn district,ja,1843.08711175,226.332070567
"112",Молодеченский район,0.355,0.115,0.269,0.084,0.097,0.039,54.312,26.8517,Маладзечанскі раён,0.64499998,"22",BLR,Belarus,"5",Minsk,"85",Maladechna,Raion,District,,Molodechno,"231",42.5869473752153,"31",P1103,Mo³odeczno district,ja,1932.52875102,240.111239093
"111",Молодечно,0.253,0.041,0.323,0.146,0.039,0.045,54.3076,26.8612,Маладзечна,0.74699998,"22",BLR,Belarus,"5",Minsk,"85",Maladechna,Raion,District,,Molodechno,"225",38.0942272413229,"31",P1103,Mo³odeczno district,ja,1932.52875102,240.111239093
"124",Мядельский район,0.374,0.107,0.269,0.114,0.064,0.032,54.874,26.9386,Мядзельскі раён,0.62599999,"22",BLR,Belarus,"5",Minsk,"87",Myadzyel,Raion,District,,Myadel,"270",48.855552297697,"32",P1106,Postawy district,ja,3298.3587352,299.331898694
"151",Поставский район,0.267,0.214,0.24,0.141,0.068,0.019,55.1151,26.8333,Пастаўскі раён,0.73299998,"22",BLR,Belarus,"6",Vitsyebsk,"109",Pastavy,Raion,District,,Postavu,"270",74.4259203362281,"32",P1106,Postawy district,ja,3298.3587352,299.331898694
"144",Докшицкий район,0.445,0.124,0.183,0.076,0.093,0.034,54.8818,27.7667,Докшыцкі раён,0.55500001,"22",BLR,Belarus,"6",Vitsyebsk,"102",Dokshytsy,Raion,District,,Dokshitsy,"418",7.40924172081778,"33",P1107,Dzisna district,ja,3637.24684722,342.218981163
"147",Глубокский район,0.39,0.102,0.279,0.084,0.082,0.015,55.1318,27.6833,Глыбоцкі раён,0.61000001,"22",BLR,Belarus,"6",Vitsyebsk,"105",Hlybokaye,Raion,District,,Glubokoye,"409",28.8688110751229,"33",P1107,Dzisna district,ja,3637.24684722,342.218981163
"156",Шарковщинский район,0.42,0.098,0.183,0.085,0.151,0.021,55.3651,27.4667,Шаркаўшчынкі раён,0.57999998,"22",BLR,Belarus,"6",Vitsyebsk,"112",Sharkawshchyna,Raion,District,,Sharkovshchina,"421",48.5380400547651,"33",P1107,Dzisna district,ja,3637.24684722,342.218981163
"141",Браславский район,0.257,0.129,0.26,0.067,0.196,0.033,55.6418,27.0614,Браслаўскі раён,0.74299997,"22",BLR,Belarus,"6",Vitsyebsk,"99",Braslaw,Raion,District,,Braslav,"421",37.3823902963795,"34",P1108,Bras³aw district,ja,4305.50037911,312.648326759
"150",Миорский район,0.401,0.121,0.12,0.12,0.176,0.016,55.6152,27.6166,Мёрскі раён,0.59899998,"22",BLR,Belarus,"6",Vitsyebsk,"108",Myory,Raion,District,,Mioru,"421",20.1312090062643,"34",P1108,Bras³aw district,ja,4305.50037911,312.648326759
"22",Октябрьский район,0.573,0.145,0.036,0.037,0.076,0.067,52.6414,28.8822,Акцябрскі раён,0.42699999,"22",BLR,Belarus,"2",Homyel',"17",Aktsyabar,Raion,District,,Oktyabrski,"99",84.649266765445,,,,,,
"23",Брагинский район,0.58,0.185,0.019,0.038,0.06,0.066,51.7817,30.2666,Брагінскі раён,0.41999999,"22",BLR,Belarus,"2",Homyel',"18",Brahin,Raion,District,,,"14",183.998161978456,,,,,,
"24",Буда-Кошелёвский район,0.468,0.283,0.042,0.045,0.057,0.037,52.7151,30.5666,Буда-Кашалёўскі раён,0.53200001,"22",BLR,Belarus,"2",Homyel',"19",Buda-Kashalyowa,Raion,District,,Buda-Koshelevo,"99",198.818169935955,,,,,,
"25",Чечерский район,0.285,0.574,0.013,0.027,0.021,0.02,52.9151,30.9166,Чэчэрскі раён,0.71499997,"22",BLR,Belarus,"2",Homyel',"20",Chachersk,Raion,District,,Chechersk,"99",224.976931099987,,,,,,
"26",Добруш,0.439,0.285,0.042,0.054,0.041,0.058,52.4103,31.3165,Добруш,0.56099999,"22",BLR,Belarus,"2",Homyel',"21",Dobrush,Raion,District,,,"100",249.776951096716,,,,,,
"27",Добрушкий район,0.386,0.33,0.037,0.061,0.08,0.03,52.4151,31.3167,Добрушскі раён,0.61400002,"22",BLR,Belarus,"2",Homyel',"21",Dobrush,Raion,District,,,"100",249.749866008457,,,,,,
"28",Гомель,0.348,0.257,0.093,0.145,0.028,0.057,52.4174,31.013,Гомель,0.65200001,"22",BLR,Belarus,"2",Homyel',"22",Homyel',Raion,District,,Homyel,"100",229.126190301752,,,,,,
"29",Гомельский район,0.428,0.269,0.047,0.064,0.061,0.056,52.4225,31.0134,Гомельскі раён,0.57200003,"22",BLR,Belarus,"2",Homyel',"22",Homyel',Raion,District,,Homyel,"100",229.110719928782,,,,,,
"30",Калинковичи,0.501,0.209,0.055,0.096,0.033,0.047,52.1268,29.3335,Калінкавічы,0.49900001,"22",BLR,Belarus,"2",Homyel',"23",Kalinkavichy,Raion,District,,Kalinkovichi,"11",118.236992254995,,,,,,
"31",Калинковичский район,0.607,0.2,0.025,0.034,0.052,0.03,52.1317,29.3333,Калінкавіцкі раён,0.39300001,"22",BLR,Belarus,"2",Homyel',"23",Kalinkavichy,Raion,District,,Kalinkovichi,"11",118.268262647216,,,,,,
"32",Кормянский район,0.461,0.333,0.025,0.025,0.029,0.028,53.1276,30.8106,Кармянскі раён,0.53899997,"22",BLR,Belarus,"2",Homyel',"24",Karma,Raion,District,,Korma,"99",223.209186264526,,,,,,
"33",Хойникский район,0.626,0.16,0.021,0.042,0.065,0.041,51.8983,29.9667,Хойніцкі раён,0.37400001,"22",BLR,Belarus,"2",Homyel',"25",Khoyniki,Raion,District,,Khoiniki,"12",161.761652329297,,,,,,
"34",Лоевский район,0.559,0.164,0.043,0.058,0.087,0.039,51.9317,30.8011,Лоеўскі раён,0.44100001,"22",BLR,Belarus,"2",Homyel',"26",Loyew,Raion,District,,Loev,"12",218.69493305243,,,,,,
